strategy,combination,filters,gate_threshold,ichimoku_mode,train_sharpe,train_win_rate,train_trades,train_cagr,train_max_dd,test_sharpe,test_win_rate,test_trades,test_cagr,test_max_dd,sharpe_degradation,combined_score
MAJORITY_4,msvr_direction+smooth_direction+lr_direction+er_gate,msvr_direction+smooth_direction+lr_direction+er_gate,3,standard,1.47,41.4,70,73.82,-39.67,0.77,47.6,42,20.42,-33.98,-47.6,0.8726666666666667
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+low_volatility,msvr_direction+smooth_direction+cycle_direction+low_volatility,2,standard,0.83,41.6,77,35.89,-64.92,0.76,42.1,38,23.36,-36.48,-8.4,0.8420000000000001
MAJORITY_3,msvr_direction+smooth_direction+lr_direction,msvr_direction+smooth_direction+lr_direction,3,strict,1.39,46.5,43,61.42,-42.95,0.76,32.0,25,17.96,-26.92,-45.3,0.9728000000000001
MAJORITY_3,msvr_direction+smooth_direction+lr_direction,msvr_direction+smooth_direction+lr_direction,2,standard,1.13,35.7,42,51.92,-51.59,0.75,36.4,22,21.72,-30.51,-33.6,1.2409090909090907
MAJORITY_4,msvr_direction+cycle_direction+entropy_gate+trend_filter,msvr_direction+cycle_direction+entropy_gate+trend_filter,2,standard,0.76,42.0,50,32.08,-75.6,0.75,50.0,12,26.86,-37.76,-1.3,3.125
MAJORITY_4,msvr_direction+cycle_direction+entropy_gate+smooth_direction,msvr_direction+cycle_direction+entropy_gate+smooth_direction,2,standard,0.67,43.1,58,24.91,-68.71,0.74,40.9,22,25.4,-40.73,10.4,1.3757272727272727
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+lr_direction,msvr_direction+smooth_direction+cycle_direction+lr_direction,2,standard,0.86,34.2,73,36.57,-70.73,0.74,47.2,36,23.29,-33.84,-14.0,0.9702222222222223
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+entropy_gate,msvr_direction+smooth_direction+cycle_direction+entropy_gate,2,standard,0.67,43.1,58,24.91,-68.71,0.74,40.9,22,25.4,-40.73,10.4,1.3757272727272727
MAJORITY_4,msvr_direction+cycle_direction+entropy_gate+lr_direction,msvr_direction+cycle_direction+entropy_gate+lr_direction,2,standard,0.73,43.8,64,29.05,-68.8,0.73,50.0,20,25.14,-50.27,0.0,1.825
MAJORITY_4,msvr_direction+smooth_direction_fast+cycle_direction+lr_direction,msvr_direction+smooth_direction_fast+cycle_direction+lr_direction,2,standard,0.82,32.3,96,34.24,-67.3,0.71,44.2,43,22.14,-37.05,-13.4,0.7298139534883721
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+vol_direction,msvr_direction+smooth_direction+cycle_direction+vol_direction,2,standard,0.81,44.6,65,34.19,-72.01,0.71,51.6,31,22.23,-38.26,-12.3,1.1818064516129032
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+rsi_bullish,msvr_direction+smooth_direction+cycle_direction+rsi_bullish,3,standard,1.18,41.1,95,55.48,-60.61,0.7,48.9,45,18.38,-29.4,-40.7,0.7606666666666666
MAJORITY_4,msvr_direction+smooth_direction_fast+cycle_direction_short+trend_filter,msvr_direction+smooth_direction_fast+cycle_direction_short+trend_filter,2,standard,0.74,39.2,97,28.54,-62.77,0.7,35.5,31,22.68,-31.84,-5.4,0.8016129032258063
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+trend_filter_short,msvr_direction+smooth_direction+cycle_direction+trend_filter_short,3,standard,1.37,47.3,55,64.43,-30.75,0.69,43.8,32,17.7,-28.32,-49.6,0.9444374999999998
MAJORITY_4,msvr_direction+smooth_direction_fast+cycle_direction_short+trend_filter,msvr_direction+smooth_direction_fast+cycle_direction_short+trend_filter,4,standard,1.42,55.2,67,52.46,-29.4,0.68,43.2,37,12.09,-20.22,-52.1,0.7939459459459459
MAJORITY_3,lr_direction+cycle_direction+entropy_gate,lr_direction+cycle_direction+entropy_gate,2,relaxed,0.68,51.5,68,25.63,-69.98,0.67,65.2,23,21.54,-51.02,-1.5,1.8993043478260874
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+trend_filter,msvr_direction+smooth_direction+cycle_direction+trend_filter,3,standard,1.29,46.0,63,58.65,-33.31,0.66,57.9,38,16.2,-28.32,-48.8,1.0056315789473684
MAJORITY_4,msvr_direction+smooth_direction+lr_direction+er_gate,msvr_direction+smooth_direction+lr_direction+er_gate,2,standard,0.62,34.7,101,21.0,-70.39,0.66,56.5,46,20.47,-42.03,6.5,0.8106521739130435
MAJORITY_5,msvr_direction+smooth_direction+cycle_direction+entropy_gate+trend_filter,msvr_direction+smooth_direction+cycle_direction+entropy_gate+trend_filter,4,standard,1.29,46.0,63,58.65,-33.31,0.66,57.9,38,16.2,-28.32,-48.8,1.0056315789473684
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction_long+lr_direction,msvr_direction+smooth_direction+cycle_direction_long+lr_direction,4,standard,1.55,55.2,67,63.27,-32.27,0.65,38.5,26,12.09,-18.43,-58.1,0.9625000000000001
MAJORITY_3,msvr_direction+cycle_direction+entropy_gate,msvr_direction+cycle_direction+entropy_gate,3,relaxed,1.35,57.4,54,65.07,-49.09,0.65,37.9,29,14.99,-25.34,-51.9,0.8494827586206897
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+entropy_gate_strict,msvr_direction+smooth_direction+cycle_direction+entropy_gate_strict,2,standard,0.68,43.5,62,25.67,-68.38,0.64,34.4,32,19.74,-43.33,-5.9,0.688
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction_long+lr_direction,msvr_direction+smooth_direction+cycle_direction_long+lr_direction,2,standard,0.73,42.7,75,27.97,-73.62,0.64,37.5,32,18.99,-44.66,-12.3,0.75
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+rsi_bullish,msvr_direction+smooth_direction+cycle_direction+rsi_bullish,2,standard,0.84,32.5,80,35.82,-69.29,0.63,37.5,32,18.27,-44.37,-25.0,0.73828125
MAJORITY_3,msvr_direction+cycle_direction+trend_filter,msvr_direction+cycle_direction+trend_filter,2,strict,1.08,51.1,47,48.62,-52.69,0.62,65.2,23,17.14,-36.54,-42.6,1.7575652173913043
MAJORITY_3,msvr_direction+cycle_direction+entropy_gate,msvr_direction+cycle_direction+entropy_gate,3,standard,1.38,55.6,54,64.65,-40.2,0.62,45.2,31,14.31,-26.39,-55.1,0.9039999999999999
MAJORITY_5,msvr_direction+smooth_direction+cycle_direction+entropy_gate+trend_filter,msvr_direction+smooth_direction+cycle_direction+entropy_gate+trend_filter,2,standard,0.68,46.2,39,25.54,-74.95,0.61,41.7,12,19.1,-43.61,-10.3,2.11975
