date,composite,price
2011-03-10 00:00:00+00:00,-0.38238918148738094,0.89
2011-03-11 00:00:00+00:00,-0.37735733619349265,0.89
2011-03-12 00:00:00+00:00,-0.49564353644519754,0.9
2011-03-13 00:00:00+00:00,-0.4621269760129562,0.9
2011-03-14 00:00:00+00:00,-0.1313630045657052,0.89
2011-03-15 00:00:00+00:00,-0.3638053576656915,0.88
2011-03-16 00:00:00+00:00,-0.3165530578638447,0.85
2011-03-17 00:00:00+00:00,-0.29775025546648853,0.84
2011-03-18 00:00:00+00:00,-0.22245124356096085,0.77
2011-03-19 00:00:00+00:00,-0.6471152858162874,0.76
2011-03-20 00:00:00+00:00,0.2202028923144315,0.77
2011-03-21 00:00:00+00:00,-0.1284276335922181,0.75
2011-03-22 00:00:00+00:00,-0.15517137647145846,0.78
2011-03-23 00:00:00+00:00,-0.2721145036882393,0.83
2011-03-24 00:00:00+00:00,-0.3378712752511019,0.88
2011-03-25 00:00:00+00:00,0.042380941032774594,0.88
2011-03-26 00:00:00+00:00,-0.7329253580614759,0.87
2011-03-27 00:00:00+00:00,-0.18672345096950427,0.83
2011-03-28 00:00:00+00:00,-0.163122404485967,0.81
2011-03-29 00:00:00+00:00,-0.1423688949340412,0.79
2011-03-30 00:00:00+00:00,-0.1390653088707977,0.79
2011-03-31 00:00:00+00:00,-0.1418540007880486,0.79
2011-04-01 00:00:00+00:00,-0.2789995276497135,0.78
2011-04-02 00:00:00+00:00,-0.20950025301310432,0.79
2011-04-03 00:00:00+00:00,-0.2529463620843352,0.78
2011-04-04 00:00:00+00:00,0.010391251481807307,0.69
2011-04-05 00:00:00+00:00,0.040814146233051074,0.67
2011-04-06 00:00:00+00:00,-0.015716785851691006,0.72
2011-04-07 00:00:00+00:00,-0.04877795425226811,0.75
2011-04-08 00:00:00+00:00,-0.056172682827710096,0.76
2011-04-09 00:00:00+00:00,-0.4504776787353378,0.74
2011-04-10 00:00:00+00:00,-0.01092246449423978,0.74
2011-04-11 00:00:00+00:00,-0.06497338396351299,0.77
2011-04-12 00:00:00+00:00,-0.3742988546242332,0.85
2011-04-13 00:00:00+00:00,-0.5775929032336012,0.93
2011-04-14 00:00:00+00:00,-0.6156166652777338,0.95
2011-04-15 00:00:00+00:00,-0.7414786255037207,1.0
2011-04-16 00:00:00+00:00,-0.9018941796489718,1.04
2011-04-17 00:00:00+00:00,-0.9868963751821802,1.08
2011-04-18 00:00:00+00:00,-1.0086040771193776,1.15
2011-04-19 00:00:00+00:00,-1.0151739648619709,1.18
2011-04-20 00:00:00+00:00,-1.0041914686418205,1.16
2011-04-21 00:00:00+00:00,-1.0076199265942576,1.18
2011-04-22 00:00:00+00:00,-1.041822960023969,1.29
2011-04-23 00:00:00+00:00,-1.0967662520755246,1.55
2011-04-24 00:00:00+00:00,-1.159639016925904,1.67
2011-04-25 00:00:00+00:00,-1.119882390111683,1.58
2011-04-26 00:00:00+00:00,-1.1429918813426445,1.67
2011-04-27 00:00:00+00:00,-1.2083225945914047,1.89
2011-04-28 00:00:00+00:00,-1.242433129995713,2.03
2011-04-29 00:00:00+00:00,-1.3659979230654686,2.59
2011-04-30 00:00:00+00:00,-1.3767682420406218,3.29
2011-05-01 00:00:00+00:00,-1.3663442488234376,3.14
2011-05-02 00:00:00+00:00,-1.3688012841984945,3.24
2011-05-03 00:00:00+00:00,-1.3701476057468347,3.32
2011-05-04 00:00:00+00:00,-1.373338386986293,3.44
2011-05-05 00:00:00+00:00,-1.3692536933759523,3.41
2011-05-06 00:00:00+00:00,-1.3699930610508493,3.48
2011-05-07 00:00:00+00:00,-1.4019307779461454,3.61
2011-05-08 00:00:00+00:00,-1.4065552516389856,3.77
2011-05-09 00:00:00+00:00,-1.4005024355419418,3.8
2011-05-10 00:00:00+00:00,-1.4435625065853914,4.74
2011-05-11 00:00:00+00:00,-1.4658068056505855,5.35
2011-05-12 00:00:00+00:00,-1.4813299312780868,5.83
2011-05-13 00:00:00+00:00,-1.5,7.48
2011-05-14 00:00:00+00:00,-1.410941475826972,7.86
2011-05-15 00:00:00+00:00,-1.410941475826972,6.74
2011-05-16 00:00:00+00:00,-1.410941475826972,7.77
2011-05-17 00:00:00+00:00,-1.410941475826972,7.52
2011-05-18 00:00:00+00:00,-1.4089093698733635,7.14
2011-05-19 00:00:00+00:00,-1.3886772816798048,6.96
