date,lth_supply,sth_supply,total_supply,realized_cap,coindays_destroyed_1m,lth_ratio,sth_ratio,active_ratio,illiquidity_factor,illiquidity_4y_mean,iip_multiplier,iip_penalty,spot_price,realized_price,mvrv
2014-05-15 00:00:00+00:00,8154146.98552108,4619092.80638119,12773239.79190227,4124222246.11,92481385.63330746,0.6383773512723442,0.3616226487276558,0.3616226487276558,1.7653135209269402,1.360742129848686,1.297316723134928,0.6830306801255477,446.53,322.8798889945364,1.382960088937456
2014-05-16 00:00:00+00:00,8170463.82080671,4607300.97109556,12777764.79190227,4124147246.19,76163265.70284843,0.6394282532094054,0.3605717467905946,0.36057174679059456,1.773373146678515,1.3612510231167598,1.3027524803016481,0.6971640249320961,447.0,322.75967771793864,1.384931361812288
2014-05-17 00:00:00+00:00,8201571.41394751,4580518.37795476,12782089.79190227,4125600291.78,71491448.42249393,0.6416455796722209,0.35835442032777903,0.3583544203277791,1.7905334587063877,1.361768619887017,1.314858803880313,0.7288536741415677,450.73,322.76414568716746,1.3964686165509252
2014-05-18 00:00:00+00:00,8267552.9836963,4518836.80820597,12786389.79190227,4127509202.23,70878704.15286446,0.6465900944872032,0.3534099055127967,0.35340990551279683,1.829575471431687,1.3623108170964953,1.3429941599752375,0.803633313727594,446.89,322.80489406352893,1.3843966068000528
2014-05-19 00:00:00+00:00,8287978.10806461,4502611.68296406,12790589.79102867,4127963986.24,72346173.17590046,0.6479746628945762,0.3520253371054239,0.35202533710542383,1.8407046158172473,1.3628587482784864,1.3506202444988216,0.8241750448500564,447.76,322.7344519433621,1.3873944888864207
2014-05-20 00:00:00+00:00,8431827.66028062,4363187.13074805,12795014.79102867,4133076210.74,72896380.8996706,0.6589931936767018,0.3410068063232983,0.34100680632329816,1.9324927874076814,1.3634674773514215,1.4173369145273707,1.008843929281967,488.81,323.0223863154844,1.5132387744872788
2014-05-21 00:00:00+00:00,8439701.51463073,4359688.27639794,12799389.79102867,4138167577.5,73924078.23049736,0.6593831153221283,0.34061688467787166,0.34061688467787166,1.9358497625439808,1.3640769800885173,1.4191646005332925,1.0140281634068198,493.32,323.3097550010172,1.5258432273361127
2014-05-22 00:00:00+00:00,8473703.0003982,4329986.79063047,12803689.79102867,4145764648.13,73959327.93599129,0.6618172682015134,0.3381827317984867,0.33818273179848657,1.956981258865315,1.364700098886591,1.4340009650925831,1.0563587678864597,528.16,323.7945245311135,1.6311579102976739
2014-05-23 00:00:00+00:00,8491351.09260169,4316463.69842685,12807814.79102854,4152024262.65,71198389.7835083,0.6629820333246548,0.3370179666753452,0.3370179666753452,1.9672008583545812,1.3653294264785634,1.4408250640494547,1.0759768651931152,523.06,324.17897435231174,1.6134914395513755
2014-05-24 00:00:00+00:00,8603693.95475933,4207970.83626921,12811664.79102854,4154975484.64,79603749.9342022,0.6715515973212262,0.3284484026787738,0.32844840267877384,2.044618247018881,1.3660104076923862,1.4967808704128933,1.2403529740339785,527.0,324.3119104669013,1.6249788644558114
2014-05-25 00:00:00+00:00,8608152.89216539,4207536.89886315,12815689.79102854,4170237678.39,83898171.77036572,0.6716886123594703,0.32831138764052964,0.3283113876405297,2.0458888654051397,1.3666907782329818,1.4969654423587353,1.240905535616284,572.09,325.40095354908806,1.7581079396366857
2014-05-26 00:00:00+00:00,8622179.69481073,4197460.09621781,12819639.79102854,4177125798.74,86710256.06270981,0.672575816119632,0.3274241838803679,0.327424183880368,2.0541421471951296,1.3673763277602586,1.5022507743422637,1.256757389011931,584.88,325.8380006638909,1.7950024208604098
2014-05-27 00:00:00+00:00,8569394.13127167,4253645.65975687,12823039.79102854,4214182879.26,114396684.34381008,0.6682810215770465,0.33171897842295345,0.3317189784229535,2.0145999024661303,1.368033723217723,1.472624445052153,1.1686227561651616,572.7,328.641488128922,1.7426284285060714
2014-05-28 00:00:00+00:00,8579113.33491302,4248151.45611552,12827264.79102854,4220330633.44,114705663.38720989,0.6688186043304648,0.3311813956695351,0.3311813956695352,2.0194932839700823,1.3686951347978211,1.4754880269727815,1.1770649177400316,580.68,329.01251375053255,1.764917672524424
2014-05-29 00:00:00+00:00,8602989.16377272,4227800.62725582,12830789.79102854,4223774944.95,113416379.43425941,0.6704956829538308,0.3295043170461692,0.3295043170461692,2.034861603527588,1.3693655667927693,1.4859885868851634,1.208162080352965,572.62,329.19056533085126,1.7394787709802413
2014-05-30 00:00:00+00:00,8609296.1889133,4225668.60211524,12834964.79102854,4244912653.43,116843824.21791077,0.670768975925129,0.3292310240748711,0.32923102407487104,2.037380826457558,1.370036143987998,1.487100056008016,1.2114665765790447,620.65,330.73036993425444,1.876604196111105
2014-05-31 00:00:00+00:00,8603392.17652416,4235247.61450438,12838639.79102854,4254446767.93,120691088.37821484,0.6701171087092955,0.3298828912907044,0.32988289129070447,2.03137879047739,1.370700856210906,1.4820000886939164,1.1963242628887762,626.42,331.378310878614,1.8903470125703599
2014-06-01 00:00:00+00:00,8597893.03866888,4245121.75235966,12843014.79102854,4264832283.15,123022542.39455223,0.6694606506779794,0.3305393493220206,0.33053934932202056,2.025358409070299,1.3713576280343225,1.4769002393441373,1.1812343169747699,627.48,332.074077040633,1.889578390436122
2014-06-02 00:00:00+00:00,8615814.24226361,4232025.54876493,12847839.79102854,4284070578.81,126367911.25936222,0.6706041157424696,0.32939588425753036,0.3293958842575304,2.0358606400138672,1.3720185479089122,1.483843380336741,1.201791177369166,663.48,333.4467621398505,1.9897629107033605
2014-06-03 00:00:00+00:00,8622243.27842065,4230021.51260789,12852264.79102854,4296638464.72,128643323.58297253,0.6708734544933562,0.3291265455066438,0.3291265455066438,2.0383450185114707,1.3726764856506675,1.4849420382875338,1.2050528570735355,670.32,334.3098305692587,2.005086116847319
2014-06-04 00:00:00+00:00,8638246.28868146,4218568.50234708,12856814.79102854,4303794615.02,129563297.58024216,0.6718807441100584,0.3281192558899416,0.3281192558899416,2.047672399743043,1.373337985242828,1.4910185414998056,1.2231362910962074,643.23,334.74812268612436,1.9215343011889654
2014-06-05 00:00:00+00:00,8656356.36926863,4204258.42175991,12860614.79102854,4312966444.02,130256694.32865238,0.6730904011919581,0.32690959880804193,0.32690959880804193,2.058949641265168,1.3740046126081387,1.4985027141625569,1.2455103843525497,662.37,335.362384621666,1.9750873394678494
2014-06-06 00:00:00+00:00,8669611.03934282,4194478.75168572,12864089.79102854,4323942393.93,130952807.49050999,0.673938940117554,0.32606105988244605,0.32606105988244605,2.0669102295150714,1.3746745338836028,1.5035633370437353,1.2607027085020932,649.23,336.1250165515427,1.9315134787072432
2014-06-07 00:00:00+00:00,8674032.43926282,4193932.35176572,12867964.79102854,4329017822.43,130824443.99596882,0.6740795906832368,0.3259204093167633,0.32592040931676325,2.068233750983346,1.3753430363257735,1.5037948325303836,1.2613988983450843,655.95,336.41822096437215,1.9498052100735275
2014-06-08 00:00:00+00:00,8681096.42627496,4190268.36475358,12871364.79102854,4335314947.13,131894089.99339008,0.6744503451821803,0.3255496548178198,0.3255496548178197,2.071728030427826,1.3760106199487914,1.5056046809471033,1.266845455289829,656.7,336.8185905314217,1.9497142333025015
2014-06-09 00:00:00+00:00,8682688.18627495,4192576.60475359,12875264.79102854,4345603407.19,136335078.83273792,0.6743696791638049,0.3256303208361951,0.32563032083619514,2.0709670937032896,1.3766757171154522,1.5043245609376954,1.2629923846403899,648.82,337.5156532872246,1.9223404712665477
2014-06-10 00:00:00+00:00,8700623.40588691,4178816.38514163,12879439.79102854,4356129512.32,145576959.6319666,0.6755436220096718,0.3244563779903282,0.3244563779903282,2.082078417425375,1.3773358820391584,1.5116707874791142,1.2851485697177254,648.53,338.22352392643336,1.917459768827496
2014-06-11 00:00:00+00:00,8707350.69300636,4175739.09802218,12883089.79102854,4363118574.82,157065565.69994545,0.6758744085654003,0.3241255914345998,0.32412559143459974,2.0852238342981146,1.3779953172282515,1.5132299857828309,1.2898649898723065,622.63,338.67019834468323,1.8384552377009427
2014-06-12 00:00:00+00:00,8542758.84319275,4344630.94783579,12887389.79102854,4433118530.48,206262255.46465683,0.6628773538874201,0.3371226461125799,0.3371226461125799,1.966279517354217,1.3785717304650988,1.426316435990486,1.0343785755766022,571.84,343.9888606121064,1.6623794124683193
2014-06-13 00:00:00+00:00,8569379.37883309,4322085.41219545,12891464.79102854,4436470990.7,203170997.26838398,0.6647327916372012,0.3352672083627988,0.3352672083627988,1.982695518846811,1.3791618054882426,1.4376090687523855,1.066719834559101,591.0,344.14017821989006,1.7173234553925802
2014-06-14 00:00:00+00:00,8599684.3767843,4296230.41324424,12895914.79002854,4436412031.8,202476133.10207176,0.666853380842265,0.33314661915773497,0.333146619157735,2.0016813693868816,1.3797652995989673,1.450740477361386,1.1046479326547418,566.29,344.0168537117158,1.6461112119656436
2014-06-15 00:00:00+00:00,8617118.88913985,4283545.90088869,12900664.79002854,4438470432.69,202081305.58633804,0.6679592896484202,0.3320407103515797,0.3320407103515798,2.011678896064144,1.380374939127092,1.4573423778153127,1.1238468061763895,584.29,344.0497451046614,1.698271858397269
2014-06-16 00:00:00+00:00,8619591.68510035,4285773.10492819,12905364.79002854,4444387671.83,204449071.7086439,0.6679076357268385,0.33209236427316147,0.33209236427316147,2.01121045703253,1.3809842168547721,1.456360204907421,1.1209850464379851,589.06,344.3829557816142,1.7104795406121793
2014-06-17 00:00:00+00:00,8618482.13335823,4291482.65667031,12909964.79002854,4447397621.85,204654804.42720318,0.6675837055740861,0.33241629442591397,0.3324162944259139,2.008276118735423,1.3815912994964898,1.453596385173621,1.1129424509898183,606.74,344.49339670431186,1.761252917485619
2014-06-18 00:00:00+00:00,8623321.6745834,4290593.11544514,12913914.79002854,4451851826.62,204623915.01607037,0.667754264666659,0.33224573533334095,0.332245735333341,2.009820424020502,1.3821995552877684,1.454073991220512,1.1143311719439497,607.97,344.732941095251,1.7635970559367449
2014-06-19 00:00:00+00:00,8626677.3333433,4291412.45668524,12918089.79002854,4454960158.45,204161969.5033989,0.6677982173496133,0.3322017826503867,0.3322017826503867,2.010218644890333,1.3828074763213076,1.4537227194042455,1.1133097449120748,592.72,344.86214532188643,1.7187157478440225
2014-06-20 00:00:00+00:00,8634355.86293913,4288383.92708941,12922739.79002854,4458050028.18,203402376.83601475,0.6681521104063074,0.33184788959369266,0.3318478895936926,2.013428837002334,1.3834173687900568,1.455402312003129,1.1181958897840532,592.97,344.9771565949139,1.718867434159675
2014-06-21 00:00:00+00:00,8642799.22907815,4284590.56095039,12927389.79002854,4461091287.79,201749488.57392025,0.668564912906449,0.3314350870935509,0.33143508709355096,2.0171820635204494,1.3840291627225059,1.4574707801333295,1.1242210749424562,591.69,345.08832488605196,1.714604515221939
2014-06-22 00:00:00+00:00,8647175.21657534,4284714.5731256,12931889.78970094,4465198151.87,201044270.54065037,0.6686706550392981,0.33132934496070177,0.3313293449607019,2.018144982354664,1.3846414159706473,1.4575217518969883,1.124369657252866,599.93,345.2858185836164,1.737488097428819
2014-06-23 00:00:00+00:00,8657921.29983377,4278368.48981257,12936289.78964634,4469532787.9,194028242.31751442,0.6692739139751805,0.3307260860248195,0.33072608602481945,2.023650211628467,1.3852534001744947,1.4608520082849508,1.1340885901101738,588.66,345.503452734742,1.7037745797925203
2014-06-24 00:00:00+00:00,8661261.36110104,4279728.4285453,12940989.78964634,4475241698.09,195100904.37951946,0.6692889417184017,0.33071105828159836,0.3307110582815983,2.023787608421931,1.3858636717147677,1.4603078569177317,1.1324990369756582,573.8,345.81911977633223,1.6592489170960831
2014-06-25 00:00:00+00:00,8665721.22355045,4279943.56593209,12945664.78948254,4476196992.34,192723582.1385517,0.6693917511745516,0.3306082488254485,0.33060824882544837,2.0247279175661803,1.3864736179750132,1.4603436310049354,1.1326035206166787,560.33,345.76802853543694,1.6205373364720248
2014-06-26 00:00:00+00:00,8677440.6196328,4272499.16984974,12949939.78948254,4481747175.19,167485442.26390743,0.6700757502116184,0.3299242497883817,0.32992424978838164,2.030998784240367,1.3870865518925282,1.464219216507644,1.1439379139902588,577.34,346.08247204592476,1.6682150834942824
2014-06-27 00:00:00+00:00,8683821.03699668,4271043.75248586,12954864.78948254,4486827126.22,166737285.93420506,0.6703135214538615,0.3296864785461385,0.32968647854613853,2.033184753010892,1.387698211077181,1.465149076925495,1.1466618176156298,599.85,346.3430301381956,1.7319534328744877
2014-06-28 00:00:00+00:00,8694790.68459743,4264624.10488511,12959414.78948254,4490774410.74,165412490.089674,0.6709246386383013,0.32907536136169874,0.3290753613616987,2.0388176005096406,1.3883115488753008,1.4685591300895882,1.1566659185694879,590.79,346.52601862736685,1.7048936248429294
2014-06-29 00:00:00+00:00,8691401.59573303,4271938.19374951,12963339.78948254,4501287138.09,173883144.24144745,0.6704600617492544,0.3295399382507456,0.32953993825074557,2.0345335539849017,1.388922253613337,1.4648289698663701,1.145723910959771,600.0,347.23205679928253,1.7279510582366246
2014-06-30 00:00:00+00:00,8690336.08060199,4276303.70888055,12966639.78948254,4511410203.04,173364696.99701023,0.6702072565978788,0.3297927434021212,0.32979274340212117,2.0322074090656543,1.3895316610733126,1.4625124896369193,1.13894278234398,636.09,347.92438721859776,1.828242064562006
2014-07-01 00:00:00+00:00,8692867.23210723,4277097.55737531,12969964.78948254,4521610120.04,173583855.30779648,0.6702305960889233,0.3297694039110767,0.3297694039110767,2.03242201411036,1.390140555638747,1.4620262719955646,1.1375208200052485,644.57,348.62161875000726,1.8489100082522827
2014-07-02 00:00:00+00:00,8695740.75150287,4277649.03797967,12973389.78948254,4534262457.5,175218487.78063774,0.6702751472519898,0.3297248527480102,0.3297248527480102,2.032831743393764,1.3907459486287579,1.4616844617797287,1.1365214658082952,650.05,349.50483497966763,1.8599170453187477
